word,accent,infltype1,subtype
обтечь,4,8,к
осечь,3,8,к
осечься,3,8,к
осечься,3,8,к
отвлечь,5,8,к
отвлечься,5,8,к
отволочь,6,8,к
отволочься,6,8,к
отечь,3,8,к
отпечь,4,8,к
отречься,4,8,к
отсечь,4,8,к
оттечь,4,8,к
переволочь,8,8,к
переволочься,8,8,к
перепечь,6,8,к
перепечься,6,8,к
пересечь,6,8,к
пересечься,6,8,к
перетечь,6,8,к
печь,2,8,к
печься,2,8,к
повлечь,5,8,к
повлечься,5,8,к
поволочь,6,8,к
поволочься,6,8,к
подволочь,7,8,к
подпечь,5,8,к
подпечься,5,8,к
подсечь,5,8,к
подтечь,5,8,к
попечь,4,8,к
попечься,4,8,к
поразвлечь,8,8,к
поразвлечься,8,8,к
потечь,4,8,к
предречь,6,8,к
пресечь,5,8,к
пресечься,5,8,к
пресечься,5,8,к
привлечь,6,8,к
приволочь,7,8,к
приволочься,7,8,к
припечь,5,8,к
припечься,5,8,к
притечь,5,8,к
проволочь,7,8,к
проволочься,7,8,к
проистечь,7,8,к
пропечь,5,8,к
пропечься,5,8,к
проречь,5,8,к
просечь,5,8,к
просечься,5,8,к
протечь,5,8,к
развлечь,6,8,к
развлечься,6,8,к
разволочь,7,8,к
распечь,5,8,к
рассечь,5,8,к
рассечься,5,8,к
растечься,5,8,к
сволочь,5,8,к
сечь,2,8,к
сечь,2,8,к
сечь,2,8,к
сечься,2,8,к
совлечь,5,8,к
совлечься,5,8,к
спечь,3,8,к
спечься,3,8,к
ссечь,3,8,к
стечь,3,8,к
стечься,3,8,к
течь,2,8,к
увлечь,4,8,к
увлечься,4,8,к
уволочь,5,8,к
уволочься,5,8,к
улечься,3,8,г
упечь,3,8,к
упечься,3,8,к
усечь,3,8,к
утечь,3,8,к
вжать,3,14,м
вжаться,3,14,м
выжать,2,14,м
выжаться,2,14,м
дожать,4,14,м
жать,2,14,м
жаться,2,14,м
зажать,4,14,м
зажаться,4,14,м
нажать,4,14,м
недожать,6,14,м
обжать,4,14,м
обжаться,4,14,м
отжать,4,14,м
отжаться,4,14,м
пережать,6,14,м
поджать,5,14,м
поднажать,7,14,м
пожать,4,14,м
пожаться,4,14,м
понажать,6,14,м
прижать,5,14,м
прижаться,5,14,м
принажать,7,14,м
прожать,5,14,м
прожаться,5,14,м
разжать,5,14,м
разжаться,5,14,м
сжать,3,14,м
сжаться,3,14,м
ужать,3,14,м
ужаться,3,14,м
вмять,3,14,н
вмяться,3,14,н
выжать,2,14,н
вымять,2,14,н
дожать,4,14,н
домять,4,14,н
жать,2,14,н
зажать,4,14,н
замять,4,14,н
замяться,4,14,н
зачать,4,14,н
зачаться,4,14,н
измять,4,14,н
измяться,4,14,н
мять,2,14,н
мяться,2,14,н
нажать,4,14,н
намять,4,14,н
начать,4,14,н
начаться,4,14,н
недожать,6,14,н
обжать,4,14,н
обжаться,4,14,н
обмять,4,14,н
обмяться,4,14,н
отжать,4,14,н
отмять,4,14,н
пережать,6,14,н
перемять,6,14,н
перемяться,6,14,н
поджать,5,14,н
подмять,5,14,н
пожать,4,14,н
помять,4,14,н
помяться,4,14,н
поразмять,7,14,н
поразмяться,7,14,н
почать,4,14,н
примять,5,14,н
примяться,5,14,н
приумять,6,14,н
приумяться,6,14,н
прожать,5,14,н
промять,5,14,н
промяться,5,14,н
пропять,5,14,н
размять,5,14,н
размяться,5,14,н
распять,5,14,н
сжать,3,14,н
смять,3,14,н
смяться,3,14,н
ужать,3,14,н
умять,3,14,н
умяться,3,14,н
настраивать,6,1,О
осваивать,4,1,О
вколоть,5,10,ол
вколоться,5,10,ол
выколоть,2,10,ол
выполоть,2,10,ол
доколоть,6,10,ол
дополоть,6,10,ол
заколоть,6,10,ол
заколоться,6,10,ол
исколоть,6,10,ол
исколоться,6,10,ол
колоть,4,10,ол
колоться,4,10,ол
надколоть,7,10,ол
надколоться,7,10,ол
наколоть,6,10,ол
наколоться,6,10,ол
наполоть,6,10,ол
обколоть,6,10,ол
обколоться,6,10,ол
ополоть,5,10,ол
отколоть,6,10,ол
отколоться,6,10,ол
отполоть,6,10,ол
переколоть,8,10,ол
переколоться,8,10,ол
переполоть,8,10,ол
подколоть,7,10,ол
поколоть,6,10,ол
поколоться,6,10,ол
полоть,4,10,ол
пополоть,6,10,ол
приколоть,7,10,ол
проколоть,7,10,ол
прополоть,7,10,ол
расколоть,7,10,ол
расколоться,7,10,ол
сколоть,5,10,ол
сколоться,5,10,ол
сполоть,5,10,ол
уколоть,5,10,ол
уколоться,5,10,ол
бороться,4,10,ор
вспороть,6,10,ор
выпороть,2,10,ор
выпороть,2,10,ор
выпороться,2,10,ор
допороть,6,10,ор
запороть,6,10,ор
испороть,6,10,ор
надпороть,7,10,ор
напороть,6,10,ор
напороться,6,10,ор
опороть,5,10,ор
отпороть,6,10,ор
отпороть,6,10,ор
отпороться,6,10,ор
перебороть,8,10,ор
перепороть,8,10,ор
перепороть,8,10,ор
побороть,6,10,ор
побороться,6,10,ор
подпороть,7,10,ор
подпороться,7,10,ор
попороть,6,10,ор
пороть,4,10,ор
пороться,4,10,ор
пропороть,7,10,ор
распороть,7,10,ор
распороться,7,10,ор
спороть,5,10,ор
спороться,5,10,ор
воспеть,5,12,петь
выпеть,2,12,петь
допеть,4,12,петь
запеть,4,12,петь
напеть,4,12,петь
напеться,4,12,петь
отпеть,4,12,петь
перепеть,6,12,петь
петь,2,12,петь
петься,2,12,петь
подпеть,5,12,петь
попеть,4,12,петь
пропеть,5,12,петь
распеть,5,12,петь
распеться,5,12,петь
спеть,3,12,петь
спеться,3,12,петь
взнести,7,7,с
взнестись,7,7,с
внести,6,7,с
внестись,6,7,с
вознести,8,7,с
вознестись,8,7,с
вынести,2,7,с
вынестись,2,7,с
выпасти,2,7,с
вытрясти,2,7,с
вытрястись,2,7,с
донести,7,7,с
донестись,7,7,с
допасти,7,7,с
занести,7,7,с
занестись,7,7,с
запасти,7,7,с
запастись,7,7,с
затрясти,8,7,с
затрястись,8,7,с
нанести,7,7,с
напасти,7,7,с
напастись,7,7,с
напастись,7,7,с
натрясти,8,7,с
натрястись,8,7,с
нести,5,7,с
нестись,5,7,с
обнести,7,7,с
обтрясти,8,7,с
отнести,7,7,с
отнестись,7,7,с
отпасти,7,7,с
отпастись,7,7,с
отрясти,7,7,с
отрястись,7,7,с
оттрясти,8,7,с
оттрястись,8,7,с
пасти,5,7,с
пастись,5,7,с
перенести,9,7,с
перенестись,9,7,с
перетрясти,10,7,с
перетрястись,10,7,с
поднести,8,7,с
поднестись,8,7,с
позанести,9,7,с
понанести,9,7,с
понести,7,7,с
понестись,7,7,с
попасти,7,7,с
попастись,7,7,с
порастрясти,11,7,с
потрясти,8,7,с
потрясти,8,7,с
потрястись,8,7,с
превознести,11,7,с
превознестись,11,7,с
преподнести,11,7,с
привнести,9,7,с
принести,8,7,с
принестись,8,7,с
припасти,8,7,с
припастись,8,7,с
произнести,10,7,с
пронести,8,7,с
пронестись,8,7,с
пропасти,8,7,с
пропастись,8,7,с
протрясти,9,7,с
протрястись,9,7,с
разнести,8,7,с
разнестись,8,7,с
растрясти,9,7,с
растрястись,9,7,с
снести,6,7,с
снестись,6,7,с
снестись,6,7,с
снестись,6,7,с
соотнести,9,7,с
сотрясти,8,7,с
сотрястись,8,7,с
спасти,6,7,с
