word,accent,gram,infltype,label,forms
забыться,4,"св@а:_буд._забУдусь,-ется;_повел._-ься;_прош._забЫлся,-ась;$III",,,
сбыться,3,"св@а/с'':_буд._сбУдусь,-ется;_повел._-ься;_прош._сбЫлся,-Ась//-Ась,-Ось//-Ось,-Ись//-Ись$III",,,
перезабыться,8,"св@а:_буд._перезабУдусь,-ется;_повел._-ься;_прош._перезабЫлся,-ась",,,
допродать,7,"св@в/с[""1""]:_буд._допродАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//допродал,-а,-о,-и],допродАвший;_прич.страд._допрОданный(_кф_допродан,-а//-а,-о,-ы)$III",,,
воздать,5,"св@в/с:_буд._воздАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._вОзданный(_кф_вОздан,-А,-о,-ы)$III",,,
воссоздать,8,"св@в/с:_буд._воссоздАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._воссОзданный(_кф_воссоздан,-а//-а,-о,-ы)$III",,,
выдать,2,"св@а:_буд._вЫдам,-шь,-ст,-дим,-дите,-дут;_повел._-й;_прош._-л,-ла;_прич.страд._вЫданный(_кф_вЫдан,-а,-о,-ы)$III",,,
додать,4,"св@в/с[""1""]:_буд._додАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//дОдал,-а,-о,-и],додАвший;_прич.страд._дОданный(_кф_додан,-а//-а,-о,-ы)$III",,,
задать,4,"св@в/с[""1""]:_буд._задАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//зАдал,-а,-о,-и],задАвший;_прич.страд._зАданный(_кф_задан,-а//-а,-о,-ы)$III",,,
запродать,7,"св@в/с[""1""]:_буд._запродАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//запродал,-а,-о,-и],запродАвший;_прич.страд._запрОданный(_кф_запродан,-а//-а,-о,-ы)$III",,,
издать,4,"св@в/с:_буд._издАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._Изданный(_кф_издан,-а//-а,-о,-ы)$III",,,
наддать,5,"св@в/с:_буд._наддАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._наддАнный(_кф_наддан,-а//-а,-о,-ы)$III",,,
